Order_ID,Return_Date,Return_Reason
50008,2024-06-13,Wrong Product
50011,2025-03-22,Changed Mind
50016,2025-05-06,Wrong Product
50019,2025-12-05,Quality Issue
50027,2025-08-26,Wrong Product
50031,2025-06-10,Late Delivery
50038,2024-01-15,Damaged
50045,2024-08-29,Damaged
50050,2025-11-09,Changed Mind
50090,2024-11-24,Quality Issue
50103,2025-02-24,Changed Mind
50120,2025-05-30,Wrong Product
50130,2024-05-03,Wrong Product
50134,2025-12-08,Wrong Product
50141,2024-01-24,Quality Issue
50144,2024-08-04,Damaged
50145,2025-07-18,Late Delivery
50179,2024-08-19,Late Delivery
50183,2024-06-13,Wrong Product
50185,2024-11-30,Wrong Product
50189,2024-10-14,Wrong Product
50190,2024-08-21,Quality Issue
50206,2025-11-17,Late Delivery
50211,2024-02-19,Changed Mind
50251,2025-11-10,Damaged
50260,2025-04-05,Changed Mind
50275,2024-02-18,Damaged
50285,2024-10-15,Quality Issue
50353,2024-08-13,Damaged
50365,2024-07-26,Quality Issue
50367,2025-12-01,Late Delivery
50375,2024-11-07,Damaged
50390,2024-03-02,Wrong Product
50391,2024-08-08,Wrong Product
50405,2025-04-29,Quality Issue
50411,2025-02-03,Late Delivery
50420,2025-04-15,Quality Issue
50421,2024-08-23,Changed Mind
50429,2025-03-15,Changed Mind
50445,2025-12-20,Changed Mind
50502,2025-09-10,Wrong Product
50515,2025-06-05,Changed Mind
50519,2024-05-09,Damaged
50522,2024-08-24,Changed Mind
50530,2024-04-04,Wrong Product
50549,2024-12-05,Damaged
50552,2025-11-24,Late Delivery
50556,2024-06-16,Quality Issue
50560,2024-09-11,Quality Issue
50565,2025-10-16,Damaged
50573,2024-05-17,Damaged
50582,2024-07-06,Quality Issue
50616,2025-11-19,Quality Issue
50649,2025-12-14,Damaged
50650,2025-07-06,Quality Issue
50653,2024-11-17,Late Delivery
50656,2024-07-25,Changed Mind
50663,2025-02-19,Changed Mind
50710,2025-08-28,Late Delivery
50740,2024-10-15,Changed Mind
50757,2025-01-23,Changed Mind
50790,2024-11-30,Changed Mind
50792,2025-03-22,Wrong Product
50837,2025-09-05,Late Delivery
50842,2024-03-16,Quality Issue
50870,2025-01-19,Damaged
50874,2025-12-29,Late Delivery
50881,2025-03-19,Late Delivery
50885,2025-03-08,Wrong Product
50890,2025-07-04,Wrong Product
50895,2024-02-19,Changed Mind
50917,2024-04-05,Wrong Product
50924,2024-12-10,Quality Issue
50930,2024-04-23,Quality Issue
50940,2025-10-06,Changed Mind
50969,2024-02-11,Wrong Product
50970,2025-10-19,Changed Mind
50971,2025-08-25,Damaged
50976,2025-07-12,Wrong Product
50978,2025-04-14,Wrong Product
51015,2025-06-16,Wrong Product
51048,2025-12-05,Wrong Product
51051,2025-06-09,Quality Issue
51054,2025-07-07,Changed Mind
51055,2025-07-02,Quality Issue
51061,2025-10-19,Changed Mind
51081,2024-05-24,Damaged
51093,2024-12-24,Wrong Product
51094,2025-12-18,Late Delivery
51118,2024-06-13,Quality Issue
51143,2025-07-27,Late Delivery
51149,2025-11-25,Damaged
51166,2024-11-05,Late Delivery
51168,2024-08-24,Damaged
51180,2024-05-22,Quality Issue
51186,2025-11-14,Damaged
51190,2025-11-14,Quality Issue
51199,2024-04-23,Quality Issue
51203,2024-08-02,Late Delivery
51220,2024-05-24,Changed Mind
51223,2024-03-05,Changed Mind
51267,2025-07-04,Changed Mind
51268,2024-06-13,Wrong Product
51291,2024-11-11,Late Delivery
51296,2024-09-25,Damaged
51309,2025-08-18,Changed Mind
51315,2024-03-12,Late Delivery
51318,2024-02-10,Wrong Product
51322,2024-05-22,Late Delivery
51327,2024-09-14,Damaged
51345,2025-09-20,Changed Mind
51355,2024-12-17,Damaged
51365,2024-02-19,Wrong Product
51384,2025-11-14,Damaged
51393,2025-10-14,Wrong Product
51395,2025-06-10,Damaged
51398,2025-01-09,Wrong Product
51402,2025-02-09,Late Delivery
51403,2025-09-01,Late Delivery
51418,2024-12-26,Late Delivery
51419,2025-09-27,Late Delivery
51420,2024-12-29,Damaged
51455,2025-03-06,Quality Issue
51461,2024-11-27,Wrong Product
51473,2024-04-23,Wrong Product
51509,2024-12-14,Quality Issue
51552,2024-03-30,Wrong Product
51560,2024-07-09,Wrong Product
51569,2024-08-21,Late Delivery
51594,2024-07-17,Wrong Product
51628,2024-04-13,Wrong Product
51631,2024-06-05,Changed Mind
51648,2024-12-10,Wrong Product
51652,2024-09-25,Quality Issue
51654,2024-08-02,Wrong Product
51663,2024-01-15,Quality Issue
51680,2025-09-22,Wrong Product
51707,2024-10-14,Quality Issue
51727,2024-03-19,Wrong Product
51739,2024-10-21,Wrong Product
51766,2025-08-02,Changed Mind
51773,2025-11-07,Changed Mind
51785,2025-08-04,Wrong Product
51786,2025-07-25,Changed Mind
51789,2025-10-15,Damaged
51796,2024-06-27,Damaged
51822,2024-03-08,Late Delivery
51829,2024-06-14,Late Delivery
51840,2024-05-02,Damaged
51841,2024-10-26,Late Delivery
51842,2025-10-04,Wrong Product
51854,2025-07-04,Wrong Product
51860,2024-03-26,Late Delivery
51867,2025-05-27,Damaged
51893,2024-07-19,Quality Issue
51909,2025-03-01,Wrong Product
51927,2025-08-02,Changed Mind
51928,2024-09-05,Quality Issue
51930,2024-06-19,Changed Mind
51942,2024-12-06,Wrong Product
51951,2024-02-09,Late Delivery
51959,2025-11-22,Changed Mind
51961,2024-02-03,Damaged
51963,2024-10-23,Changed Mind
51968,2025-05-20,Damaged
51972,2025-04-18,Quality Issue
51995,2024-08-18,Quality Issue
51999,2025-07-06,Late Delivery
52002,2024-03-14,Damaged
52020,2025-11-11,Late Delivery
52029,2024-03-17,Changed Mind
52033,2025-02-03,Late Delivery
52038,2025-04-17,Changed Mind
52041,2024-09-12,Quality Issue
52074,2025-11-25,Late Delivery
52076,2024-09-10,Quality Issue
52084,2024-01-16,Changed Mind
52086,2024-04-30,Damaged
52089,2024-04-18,Wrong Product
52101,2025-10-10,Changed Mind
52103,2025-10-31,Changed Mind
52127,2024-12-20,Wrong Product
52131,2024-11-12,Wrong Product
52176,2024-10-02,Quality Issue
52196,2025-02-04,Changed Mind
52200,2025-12-05,Changed Mind
52223,2025-08-02,Late Delivery
52224,2024-12-14,Wrong Product
52241,2024-07-03,Damaged
52243,2024-03-02,Changed Mind
52245,2025-07-14,Late Delivery
52248,2025-10-29,Damaged
52295,2024-08-05,Quality Issue
52298,2024-07-31,Late Delivery
52317,2025-08-15,Damaged
52325,2024-11-30,Changed Mind
52331,2024-12-09,Late Delivery
52338,2024-04-08,Wrong Product
52367,2024-06-25,Damaged
52369,2024-02-01,Changed Mind
52400,2025-07-02,Late Delivery
52403,2025-09-24,Damaged
52404,2025-05-12,Quality Issue
52405,2024-03-07,Quality Issue
52411,2025-05-12,Wrong Product
52424,2024-06-28,Late Delivery
52472,2025-11-19,Late Delivery
52474,2024-08-11,Wrong Product
52517,2025-07-27,Late Delivery
52540,2025-09-16,Quality Issue
52545,2025-07-17,Quality Issue
52556,2024-08-31,Wrong Product
52580,2025-10-12,Changed Mind
52581,2025-04-13,Wrong Product
52588,2024-02-22,Quality Issue
52594,2025-01-15,Wrong Product
52599,2024-06-21,Quality Issue
52604,2026-01-01,Changed Mind
52608,2024-07-26,Quality Issue
52620,2024-10-14,Late Delivery
52635,2025-05-21,Damaged
52636,2026-01-10,Changed Mind
52642,2024-02-10,Damaged
52645,2025-06-24,Changed Mind
52664,2025-10-12,Changed Mind
52674,2025-09-17,Changed Mind
52676,2025-11-15,Changed Mind
52691,2025-03-20,Quality Issue
52694,2025-11-29,Late Delivery
52710,2025-04-04,Quality Issue
52726,2025-02-21,Quality Issue
52741,2025-04-10,Late Delivery
52754,2024-07-18,Changed Mind
52776,2025-04-15,Late Delivery
52790,2024-09-08,Damaged
52806,2024-06-07,Late Delivery
52829,2024-04-29,Quality Issue
52893,2024-03-12,Changed Mind
52899,2024-12-08,Quality Issue
52919,2025-04-20,Damaged
52924,2024-06-22,Changed Mind
52930,2025-02-23,Wrong Product
